Ind,match_id,match_round,league_id,league_name,league_round_name,parent_league_id,parent_league_season,match_time_utc,home_team_id,home_team,home_team_color,away_team_id,away_team,away_team_color,id,event_type,team_id,player_id,player_name,x,y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,expected_goals,expected_goals_on_target,shot_type,situation,period,is_own_goal,on_goal_shot_x,on_goal_shot_y,on_goal_shot_zoom_ratio,first_name,last_name,team_color,short_name
1,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442222335,Miss,9823,303339,Sadio Mané,94.7719327677786,30.7212505817413,2,NA,FALSE,FALSE,NA,NA,26.942142857,6.1488275976,0.0439420640468597,NA,Header,FromCorner,FirstHalf,FALSE,1.77737167589031,0.677248677248677,0.416339531295237,Sadio,Mané,#a00028,NA
2,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442224095,Goal,9823,460632,Joshua Kimmich,76.5160159822689,16.4323561545564,5,NA,FALSE,TRUE,NA,NA,32.0175,0.4045263138,0.0222882628440857,0.0945,RightFoot,FreeKick,FirstHalf,FALSE,1.5244708994709,0.107017543333333,1,Joshua,Kimmich,#a00028,NA
3,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442225443,AttemptSaved,9823,385437,Serge Gnabry,86.889705882,26.2275004410744,7,NA,TRUE,TRUE,90,27.362380952,33.31375,1.219999994,0.0505025684833527,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,1.18154761904762,0.322751321164021,1,Serge,Gnabry,#a00028,NA
4,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442225909,Miss,9823,385437,Serge Gnabry,78.8810713993311,40.46952381,8,NA,FALSE,FALSE,NA,NA,27.362380952,1.9648420956,0.0372972786426544,NA,RightFoot,RegularPlay,FirstHalf,FALSE,2,0.296016098753367,0.569481311395682,Serge,Gnabry,#a00028,NA
5,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442226403,AttemptSaved,9823,116772,Thomas Müller,94.4824561388,28.9592863542324,9,NA,TRUE,TRUE,97.4736842099,30.244,32.70375,1.219999994,0.0858839750289917,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,1.34292328042328,0.322751321164021,1,Thomas,Müller,#a00028,NA
6,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442227441,AttemptSaved,9823,116772,Thomas Müller,97.8596491223,32.3987511634827,10,NA,TRUE,TRUE,100.6379310348,32.9325,33.695,1.219999994,0.158992171287537,NA,RightFoot,FromCorner,FirstHalf,FALSE,1.08068783068783,0.322751321164021,1,Thomas,Müller,#a00028,NA
7,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442227505,Goal,9823,611223,Benjamin Pavard,96.7982470855393,25.8806241178513,10,NA,FALSE,TRUE,NA,NA,36.5925,0.449473682,0.0911115407943726,0.3823,RightFoot,FromCorner,FirstHalf,FALSE,0.314153439153439,0.118908381481481,1,Benjamin,Pavard,#a00028,NA
8,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442228409,Post,9810,982158,Tuta,99.2105277880393,40.3014279307676,12,NA,FALSE,FALSE,NA,NA,36.44,2.497,0.0637402534484863,NA,Header,FromCorner,FirstHalf,FALSE,0.354497354497353,0.66058201058201,1,,Tuta,#000000,NA
9,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442228443,Miss,9810,1175708,Ansgar Knauff,79.2189303215344,31.1025005817413,12,NA,FALSE,FALSE,94.4824561388,55.6030331681,67.8032227487,0.2696842092,0.0222602486610413,NA,LeftFoot,FromCorner,FirstHalf,FALSE,0,0.00797806206836807,0.111823657409865,Ansgar,Knauff,#000000,NA
10,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442230155,Miss,9823,1156141,Jamal Musiala,100.448272968492,45.5421645320129,15,NA,FALSE,FALSE,NA,NA,38.620476192,2.1382105158,0.137092888355255,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,0,0.462768430557471,0.818097495350107,Jamal,Musiala,#a00028,NA
11,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442230731,AttemptSaved,9823,215151,Marcel Sabitzer,98.2456155070393,46.8033131675871,16,NA,TRUE,TRUE,99.3070175438,45.4020382125,37.27875,1.2456842044,0.0845121145248413,NA,LeftFoot,FastBreak,FirstHalf,FALSE,0.13260582010582,0.329546085820106,1,Marcel,Sabitzer,#a00028,NA
12,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442233227,Post,9823,116772,Thomas Müller,99.1140380322786,30.2200000915527,23,NA,FALSE,FALSE,NA,NA,30.28,0.2825263144,0.929132282733917,NA,LeftFoot,FastBreak,FirstHalf,FALSE,1.98412698412698,0.0747424112169312,1,Thomas,Müller,#a00028,NA
13,3903543,1,54,Bundesliga,Bundesliga Round 1,54,2022/2023,"Fri, Aug 5, 2022, 18:35 UTC",9810,Eintracht Frankfurt,#000000,9823,Bayern München,#a00028,2442234337,Miss,9810,958335,Jesper Lindstrøm,95.3508786640393,28.9592863542324,26,NA,FALSE,FALSE,NA,NA,38.620476192,0.2696842092,0.452778697013855,NA,RightFoot,RegularPlay,FirstHalf,FALSE,0,0.058367189439681,0.818097495350107,Jesper,Lindstrøm,#000000,NA
