Ind,match_id,match_round,league_id,league_name,league_round_name,parent_league_id,parent_league_season,match_time_utc,home_team_id,home_team,home_team_color,away_team_id,away_team,away_team_color,id,event_type,team_id,player_id,player_name,x,y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,expected_goals,expected_goals_on_target,shot_type,situation,period,is_own_goal,on_goal_shot_x,on_goal_shot_y,on_goal_shot_zoom_ratio,first_name,last_name,team_color,short_name
1,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444971595,AttemptSaved,8371,361724,Ezequiel Ávila,94.2894766272786,29.9678584234649,1,NA,TRUE,TRUE,98.3421052628,30.304,31.48375,1.219999994,0.254167377948761,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.6656746031746,0.322751321164021,1,Ezequiel,Ávila,#083068,NA
2,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444977561,Goal,8371,361724,Ezequiel Ávila,100.543106342508,40.3014279307676,9,NA,FALSE,TRUE,NA,NA,37.05,1.0145263108,0.132427722215652,0.4419,Header,RegularPlay,FirstHalf,FALSE,0.193121693121694,0.268393203915344,1,Ezequiel,Ávila,#083068,NA
3,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444979281,Goal,8302,640492,Rafa Mir,101.586208343754,37.7320001831055,11,NA,FALSE,TRUE,NA,NA,35.44875,2.1959999892,0.247535526752472,0.8833,RightFoot,RegularPlay,FirstHalf,FALSE,0.616732804232803,0.580952378095238,1,Rafa,Mir,#C90F20,NA
4,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444989767,AttemptSaved,8371,303879,Lucas Torro,78.4305842440656,30.4925011634827,21,NA,FALSE,TRUE,103.577586207,33.31375,36.44,1.5474736766,0.0293373465538025,0.272,RightFoot,RegularPlay,FirstHalf,FALSE,0.354497354497353,0.409384570529101,1,Lucas,Torro,#083068,NA
5,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444990711,AttemptSaved,8371,921825,Jon Moncayola,82.5975710975344,42.1193758821487,22,NA,TRUE,TRUE,89.5,39.545000001,33.39,1.219999994,0.0310258269309998,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.16137566137566,0.322751321164021,1,Jon,Moncayola,#083068,NA
6,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444991871,AttemptSaved,8302,45220,Alejandro Gomez,92.3000030517578,37.5074988365173,24,NA,FALSE,TRUE,103.103448276,35.525,35.90625,0.5714736814,0.183873474597931,0.1301,RightFoot,RegularPlay,FirstHalf,FALSE,0.495701058201058,0.151183513597884,1,Alejandro,Gomez,#C90F20,NA
7,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444994087,Post,8371,262592,Moi Gomez,80.3451439135344,42.9865633821487,27,NA,FALSE,FALSE,NA,NA,30.244,1.380526309,0.0433044731616974,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,1.99365079365079,0.36521860026455,1,Moi,Gomez,#083068,NA
8,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2444996603,Miss,8302,640492,Rafa Mir,82.9354386120656,51.1472600760129,30,NA,FALSE,FALSE,NA,NA,27.278333333,4.5846896616,0.0197324752807617,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.99292213762264,0.677248677248677,0.558380215228481,Rafa,Mir,#C90F20,NA
9,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2445004077,Post,8302,170218,Thomas Delaney,80.5703917873311,39.3769054042324,39,NA,FALSE,FALSE,NA,NA,30.28,0.449473682,0.0298449397087097,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,1.98412698412698,0.118908381481481,1,Thomas,Delaney,#C90F20,NA
10,3918013,1,87,LaLiga,LaLiga Round 1,87,2022/2023,"Fri, Aug 12, 2022, 19:00 UTC",8371,Osasuna,#083068,8302,Sevilla,#C90F20,2445006913,AttemptSaved,8302,640492,Rafa Mir,100.25862069,29.4635707857676,41,NA,TRUE,TRUE,101.206896552,30.05190476,31.63625,1.219999994,0.191144615411758,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.62533068783069,0.322751321164021,1,Rafa,Mir,#C90F20,NA
