Ind,match_id,match_round,league_id,league_name,league_round_name,parent_league_id,parent_league_season,match_time_utc,home_team_id,home_team,home_team_color,away_team_id,away_team,away_team_color,id,event_type,team_id,player_id,player_name,x,y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,expected_goals,expected_goals_on_target,shot_type,situation,period,is_own_goal,on_goal_shot_x,on_goal_shot_y,on_goal_shot_zoom_ratio,first_name,last_name,team_color
1,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442237233,AttemptSaved,9748,766435,Lucas Paquetá,93.3000030517578,44.5612717427257,7,NA,TRUE,TRUE,93.9,44.4211464923,30.87375,1.0723157842,0.070945531129837,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,1.82705026455026,0.283681424391534,1,Lucas,Paquetá,#083888
2,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442237841,AttemptSaved,9748,1039534,Tete,80.4577635542689,12.7905213345,7,NA,FALSE,TRUE,102.155172414,33.5425,31.48375,0.4879999976,0.0180606544017792,0.1065,LeftFoot,FromCorner,FirstHalf,FALSE,1.6656746031746,0.129100528465608,1,,Tete,#083888
3,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442241803,Goal,9748,1039534,Tete,91.3000030517578,31.6362511634827,12,NA,FALSE,TRUE,NA,NA,36.82125,0.9759999952,0.0996870994567871,0.3343,LeftFoot,RegularPlay,FirstHalf,FALSE,0.253637566137564,0.258201056931217,1,,Tete,#083888
4,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442246983,Miss,8576,179823,Ryad Nouri,99.8793088982459,43.3001284525871,18,NA,FALSE,FALSE,NA,NA,42.350625,2.3179999886,0.0330687165260315,NA,Header,RegularPlay,FirstHalf,FALSE,0,0.2775840118075,0.452660728987352,Ryad,Nouri,#383838
5,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442250175,Goal,9748,169193,Alexandre Lacazette,94,34,22,NA,FALSE,TRUE,NA,NA,30.87375,0.8539999958,0.7884,0.9913,RightFoot,Penalty,FirstHalf,FALSE,1.82705026455026,0.225925924814815,1,Alexandre,Lacazette,#083888
6,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442257051,Goal,8576,41098,Thomas Mangani,94,34,31,NA,FALSE,TRUE,NA,NA,32.24625,0.1219999994,0.7884,0.9797,LeftFoot,Penalty,FirstHalf,FALSE,1.46395502645503,0.0322751321164021,1,Thomas,Mangani,#383838
7,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442257991,Miss,8576,41098,Thomas Mangani,84.0616522040656,31.33125,32,NA,FALSE,FALSE,NA,NA,43.3701910778,0.802631575,0.0800228416919708,NA,RightFoot,RegularPlay,FirstHalf,FALSE,0,0.0856579730696855,0.403406928270186,Thomas,Mangani,#383838
8,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442264707,AttemptSaved,9748,1197250,Malo Gusto,91.0999984741211,17.2030570591282,41,NA,FALSE,TRUE,102.7241379312,31.02625,33.5425,1.8685263066,0.0252706706523895,0.0484,LeftFoot,RegularPlay,FirstHalf,FALSE,1.12103174603175,0.494319128730159,1,Malo,Gusto,#083888
9,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442265155,Miss,8576,179845,Romain Hamouma,84.7373786408,42.1771875,42,NA,FALSE,FALSE,NA,NA,25.7071875,0.5329473658,0.193284064531326,NA,LeftFoot,FastBreak,FirstHalf,FALSE,2,0.0642661781874364,0.455816407280401,Romain,Hamouma,#383838
10,3904388,1,53,Ligue 1,Ligue 1 Round 1,53,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9748,Lyon,#083888,8576,AC Ajaccio,#383838,2442285379,AttemptSaved,9748,169193,Alexandre Lacazette,69.7587344302689,52.1982154905129,56,NA,FALSE,TRUE,96.7017543851,38.78857143,35.75375,0.6934736808,0.0115731060504913,0.0534,RightFoot,RegularPlay,SecondHalf,FALSE,0.536044973544974,0.183458645714286,1,Alexandre,Lacazette,#083888
