Ind,match_id,match_round,league_id,league_name,league_round_name,parent_league_id,parent_league_season,match_time_utc,home_team_id,home_team,home_team_color,away_team_id,away_team,away_team_color,id,event_type,team_id,player_id,player_name,x,y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,expected_goals,expected_goals_on_target,shot_type,situation,period,is_own_goal,on_goal_shot_x,on_goal_shot_y,on_goal_shot_zoom_ratio,first_name,last_name,team_color,short_name
1,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442235721,AttemptSaved,9825,576165,Gabriel Jesus,93,34.2287494182587,4,NA,TRUE,TRUE,94.9649122793,34.38125,35.3725,1.219999994,0.145418047904968,NA,RightFoot,RegularPlay,FirstHalf,FALSE,0.636904761904761,0.322751321164021,1,Gabriel,Jesus,#bd0510,NA
2,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442235751,Miss,9825,1021586,Gabriel Martinelli,98.8245614033,42.0037504410744,4,NA,FALSE,FALSE,NA,NA,27.782619047,0.1797894728,0.221314936876297,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,2,0.0289172360772341,0.607973040187618,Gabriel,Martinelli,#bd0510,NA
3,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442238823,AttemptSaved,9825,623621,Oleksandr Zinchenko,91.0999984741211,46.6631825717257,8,NA,FALSE,TRUE,103.8620689656,35.90625,35.44875,1.1814736784,0.0307637751102448,0.0614,LeftFoot,RegularPlay,FirstHalf,FALSE,0.616732804232803,0.312559174179894,1,Oleksandr,Zinchenko,#bd0510,NA
4,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442239097,AttemptSaved,9825,434325,Thomas Partey,87.5338218911241,38.0321415765351,9,NA,TRUE,TRUE,93.1,36.5925,31.865,1.219999994,0.0956640541553497,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.56481481481482,0.322751321164021,1,Thomas,Partey,#bd0510,NA
5,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442248953,Goal,9825,1021586,Gabriel Martinelli,101.112070412754,32.475,20,NA,FALSE,TRUE,NA,NA,35.14375,0.3274736826,0.155939042568207,0.2855,Header,FromCorner,FirstHalf,FALSE,0.697420634920634,0.0866332493650794,1,Gabriel,Martinelli,#bd0510,NA
6,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442265143,AttemptSaved,9826,637746,Odsonne Edouard,97.0877163528214,33.3137488365173,42,NA,FALSE,TRUE,104.1465517242,34,35.44875,1.1365263102,0.0988753437995911,0.1305,Header,SetPiece,FirstHalf,FALSE,0.616732804232803,0.300668336031746,1,Odsonne,Edouard,#004A97,NA
7,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442268367,AttemptSaved,9826,637746,Odsonne Edouard,90.4000015258789,24.6298089222,45,1,TRUE,TRUE,91.9,25.5915625,35.6775,1.219999994,0.0434690713882446,NA,RightFoot,RegularPlay,FirstHalf,FALSE,0.556216931216931,0.322751321164021,1,Odsonne,Edouard,#004A97,NA
8,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442268421,AttemptSaved,9826,637746,Odsonne Edouard,98.0526286338214,25.2446875,45,1,TRUE,TRUE,98.9210526314,25.880625,31.7125,1.219999994,0.0823351740837097,NA,RightFoot,RegularPlay,FirstHalf,FALSE,1.60515873015873,0.322751321164021,1,Odsonne,Edouard,#004A97,NA
9,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442279043,AttemptSaved,9826,214570,Jeffrey Schlupp,81.3587378648,33.0849994182587,47,NA,TRUE,TRUE,87.3191176468,33.16125,33.46625,1.219999994,0.0407965183258057,NA,LeftFoot,RegularPlay,SecondHalf,FALSE,1.14120370370371,0.322751321164021,1,Jeffrey,Schlupp,#004A97,NA
10,3900932,1,47,Premier League,Premier League Round 1,47,2022/2023,"Fri, Aug 5, 2022, 19:00 UTC",9826,Crystal Palace,#004A97,9825,Arsenal,#bd0510,2442280869,AttemptSaved,9825,534670,Martin Ødegaard,89.5,25.53375,51,NA,TRUE,TRUE,91.3,26.4009375,35.3725,1.219999994,0.0546478927135468,NA,RightFoot,RegularPlay,SecondHalf,FALSE,0.636904761904761,0.322751321164021,1,Martin,Ødegaard,#bd0510,NA
