Ind,match_id,match_round,league_id,league_name,league_round_name,parent_league_id,parent_league_season,match_time_utc,home_team_id,home_team,home_team_color,away_team_id,away_team,away_team_color,id,event_type,team_id,player_id,player_name,x,y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,expected_goals,expected_goals_on_target,shot_type,situation,period,is_own_goal,on_goal_shot_x,on_goal_shot_y,on_goal_shot_zoom_ratio,first_name,last_name,team_color
1,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445491797,Goal,8600,844504,Rodrigo Becao,102.344824692492,39.5450012834649,2,NA,FALSE,TRUE,NA,NA,34.22875,0.2054736832,0.0860033929347992,0.0499,Header,FromCorner,FirstHalf,FALSE,0.939484126984128,0.0543581172486773,1,Rodrigo,Becao,#907850
2,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445495387,AttemptSaved,8564,750027,Brahim Diaz,95.3508786640393,19.3049678881282,7,NA,FALSE,TRUE,103.0086206898,31.02625,34.305,0.4045263138,0.054140031337738,0.0254,RightFoot,RegularPlay,FirstHalf,FALSE,0.919312169312169,0.107017543333333,1,Brahim,Diaz,#302028
3,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445498401,Goal,8564,724371,Theo Hernández,94,34,11,NA,FALSE,TRUE,NA,NA,36.44,1.1365263102,0.7884,0.9863,LeftFoot,Penalty,FirstHalf,FALSE,0.354497354497353,0.300668336031746,1,Theo,Hernández,#302028
4,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445501225,Goal,8564,265725,Ante Rebic,94,32.0175011634827,15,NA,FALSE,TRUE,NA,NA,34.305,0.3274736826,0.0750552415847778,0.0336,RightFoot,RegularPlay,FirstHalf,FALSE,0.919312169312169,0.0866332493650794,1,Ante,Rebic,#302028
5,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445503567,Miss,8564,848844,Rafael Leao,78.7684431662689,43.3001284525871,18,NA,FALSE,FALSE,NA,NA,36.97375,7.2350344976,0.033549427986145,NA,LeftFoot,RegularPlay,FirstHalf,FALSE,0.721636675728868,0.677248677248677,0.35383383463468,Rafael,Leao,#302028
6,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445504983,Miss,8600,534484,Isaac Success,98.5350847743214,21.6170706018436,20,NA,FALSE,FALSE,101.9655172416,30.72125,45.1918471296,0.2696842092,0.0306465029716492,NA,RightFoot,ThrowInSetPiece,FirstHalf,FALSE,0,0.0240964879234942,0.337745856982153,Isaac,Success,#907850
7,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445509429,AttemptSaved,8600,251925,Gerard Deulofeu,91.8000030517578,22.8782165647,28,NA,TRUE,TRUE,94.4824561388,23.0884076476,30.87375,1.219999994,0.140805602073669,NA,RightFoot,FastBreak,FirstHalf,FALSE,1.82705026455026,0.322751321164021,1,Gerard,Deulofeu,#907850
8,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445510557,Miss,8564,609624,Ismael Bennacer,81.6966053793311,17.2030570591282,30,NA,FALSE,FALSE,NA,NA,26.2275,0.802631575,0.0326949954032898,NA,LeftFoot,FreeKick,FirstHalf,FALSE,2,0.103265561273722,0.486330009649405,Ismael,Bennacer,#302028
9,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445528633,Goal,8600,500502,Adam Masina,94.0964897540607,37.7799999084473,45,4,FALSE,TRUE,NA,NA,36.8975,0.2054736832,0.034981906414032,0.2814,Header,RegularPlay,FirstHalf,FALSE,0.233465608465608,0.0543581172486773,1,Adam,Masina,#907850
10,3919071,1,55,Serie A,Serie A Round 1,55,2022/2023,"Sat, Aug 13, 2022, 16:30 UTC",8564,Milan,#302028,8600,Udinese,#907850,2445545899,Goal,8564,750027,Brahim Diaz,103.862071859508,32.2462505817413,46,NA,FALSE,TRUE,NA,NA,31.56,1.0979999946,0.764903545379639,0.9925,LeftFoot,RegularPlay,SecondHalf,FALSE,1.64550264550265,0.290476189047619,1,Brahim,Diaz,#302028
