Ind,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,Prog,Url
1,2023,Ajaccio,Ligue 1,Mickaël Alphonse,GLP,DF,33-125,1989,7.2,240,380,63.2,4024,1836,114,136,83.8,93,142,65.5,23,71,32.4,0,0.3,0.5,-0.3,6,22,7,3,22,https://fbref.com/en/players/0a63446f/Mickael-Alphonse
2,2023,Ajaccio,Ligue 1,Cédric Avinel,GLP,DF,36-064,1986,7.7,211,250,84.4,4049,1537,67,76,88.2,118,132,89.4,23,35,65.7,0,0,0,0,0,5,0,0,9,https://fbref.com/en/players/a94d93be/Cedric-Avinel
3,2023,Ajaccio,Ligue 1,Mickaël Barreto,FRA,MF,31-300,1991,1.6,46,60,76.7,802,245,23,27,85.2,17,21,81,5,9,55.6,0,0.3,0.2,-0.3,5,5,4,1,7,https://fbref.com/en/players/e3844ecb/Mickael-Barreto
4,2023,Ajaccio,Ligue 1,Cyrille Bayala,BFA,MF,26-174,1996,8.5,153,251,61,2374,900,81,110,73.6,53,81,65.4,10,29,34.5,0,0.1,0.2,-0.1,3,17,4,1,23,https://fbref.com/en/players/20e0dd86/Cyrille-Bayala
5,2023,Ajaccio,Ligue 1,Youcef Belaïli,ALG,MF,30-245,1992,3.6,110,152,72.4,1831,750,55,63,87.3,33,45,73.3,13,27,48.1,2,1.9,1.6,0.1,9,13,7,1,14,https://fbref.com/en/players/1a248246/Youcef-Belaili
6,2023,Ajaccio,Ligue 1,Kouamé Botué,BFA,FW,20-099,2002,1.8,19,30,63.3,242,105,12,19,63.2,6,8,75,0,0,NA,0,0.1,0,-0.1,2,5,1,0,2,https://fbref.com/en/players/65fcf987/Kouame-Botue
7,2023,Ajaccio,Ligue 1,Yanis Cimignani,FRA,"MF,DF",20-296,2002,3.1,75,113,66.4,1245,267,41,51,80.4,25,40,62.5,8,14,57.1,0,0.1,0.1,-0.1,3,1,2,2,1,https://fbref.com/en/players/7495aba7/Yanis-Cimignani
8,2023,Ajaccio,Ligue 1,Mathieu Coutadeur,FRA,MF,36-239,1986,8.9,466,550,84.7,8001,2187,215,237,90.7,179,211,84.8,54,73,74,0,0.5,0.7,-0.5,7,59,5,1,35,https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur
9,2023,Ajaccio,Ligue 1,Ismael Diallo,CIV,DF,25-289,1997,10.3,334,442,75.6,5959,2435,145,168,86.3,143,176,81.3,35,71,49.3,0,0.2,0.3,-0.2,5,35,4,2,22,https://fbref.com/en/players/b3244eeb/Ismael-Diallo
10,2023,Ajaccio,Ligue 1,Oumar Gonzalez,CMR,DF,24-262,1998,10.5,327,390,83.8,6131,2004,98,120,81.7,190,206,92.2,28,48,58.3,0,0,0.1,0,1,10,0,0,22,https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez
11,2023,Ajaccio,Ligue 1,Romain Hamouma,FRA,FW,35-230,1987,6.5,150,210,71.4,2311,794,64,80,80,52,72,72.2,13,26,50,1,1.2,0.9,-0.2,10,19,4,0,23,https://fbref.com/en/players/0b4d8274/Romain-Hamouma
12,2023,Ajaccio,Ligue 1,Mounaim El Idrissy,FRA,FW,23-277,1999,11.8,182,259,70.3,2263,488,115,155,74.2,42,58,72.4,6,11,54.5,0,0.3,0.6,-0.3,5,15,6,1,13,https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy
13,2023,Ajaccio,Ligue 1,Youssouf Koné,MLI,DF,27-132,1995,5.1,148,193,76.7,2678,1139,73,77,94.8,54,64,84.4,18,47,38.3,0,0,0.1,0,0,14,2,1,9,https://fbref.com/en/players/e6eadfb8/Youssouf-Kone
