Ind,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
1,2023,Ajaccio,Ligue 1,Mickaël Alphonse,GLP,DF,33-125,1989,7.2,0,5,0,0,0.69,0,0,NA,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,https://fbref.com/en/players/0a63446f/Mickael-Alphonse
2,2023,Ajaccio,Ligue 1,Cédric Avinel,GLP,DF,36-064,1986,7.7,1,2,1,50,0.26,0.13,0.5,1,1.2,0,0,0,1,1,0.58,0,0,https://fbref.com/en/players/a94d93be/Cedric-Avinel
3,2023,Ajaccio,Ligue 1,Mickaël Barreto,FRA,MF,31-300,1991,1.6,0,2,0,0,1.25,0,0,NA,22.1,1,0,0,0.2,0.2,0.08,-0.2,-0.2,https://fbref.com/en/players/e3844ecb/Mickael-Barreto
4,2023,Ajaccio,Ligue 1,Cyrille Bayala,BFA,MF,26-174,1996,8.5,1,11,4,36.4,1.3,0.47,0.09,0.25,15.7,0,0,0,1,1,0.09,0,0,https://fbref.com/en/players/20e0dd86/Cyrille-Bayala
5,2023,Ajaccio,Ligue 1,Youcef Belaïli,ALG,MF,30-245,1992,3.6,3,9,3,33.3,2.53,0.84,0,0,26.2,1,3,4,3.6,0.8,0.09,-0.6,-0.8,https://fbref.com/en/players/1a248246/Youcef-Belaili
6,2023,Ajaccio,Ligue 1,Kouamé Botué,BFA,FW,20-099,2002,1.8,0,6,0,0,3.31,0,0,NA,14.6,0,0,0,1.2,1.2,0.2,-1.2,-1.2,https://fbref.com/en/players/65fcf987/Kouame-Botue
7,2023,Ajaccio,Ligue 1,Yanis Cimignani,FRA,"MF,DF",20-296,2002,3.1,0,6,2,33.3,1.94,0.65,0,0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,https://fbref.com/en/players/7495aba7/Yanis-Cimignani
8,2023,Ajaccio,Ligue 1,Mathieu Coutadeur,FRA,MF,36-239,1986,8.9,0,2,0,0,0.22,0,0,NA,29.3,0,0,0,0,0,0.01,0,0,https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur
9,2023,Ajaccio,Ligue 1,Ismael Diallo,CIV,DF,25-289,1997,10.3,0,1,0,0,0.1,0,0,NA,23.7,0,0,0,0,0,0.05,0,0,https://fbref.com/en/players/b3244eeb/Ismael-Diallo
10,2023,Ajaccio,Ligue 1,Oumar Gonzalez,CMR,DF,24-262,1998,10.5,0,5,1,20,0.48,0.1,0,0,12.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,https://fbref.com/en/players/a9d4c241/Oumar-Gonzalez
11,2023,Ajaccio,Ligue 1,Romain Hamouma,FRA,FW,35-230,1987,6.5,2,11,3,27.3,1.68,0.46,0.18,0.67,16.1,0,0,0,1.6,1.6,0.15,0.4,0.4,https://fbref.com/en/players/0b4d8274/Romain-Hamouma
12,2023,Ajaccio,Ligue 1,Mounaim El Idrissy,FRA,FW,23-277,1999,11.8,3,25,13,52,2.12,1.1,0.12,0.23,14,0,0,0,2.7,2.7,0.11,0.3,0.3,https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy
13,2023,Ajaccio,Ligue 1,Youssouf Koné,MLI,DF,27-132,1995,5.1,0,1,1,100,0.19,0.19,0,0,27.6,0,0,0,0,0,0.04,0,0,https://fbref.com/en/players/e6eadfb8/Youssouf-Kone
14,2023,Ajaccio,Ligue 1,Qazim Laçi,ALB,MF,26-299,1996,2.3,0,4,0,0,1.71,0,0,NA,30.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,https://fbref.com/en/players/eb0db257/Qazim-Laci
15,2023,Ajaccio,Ligue 1,Benjamin Leroy,FRA,GK,33-221,1989,13.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/1e7aea56/Benjamin-Leroy
16,2023,Ajaccio,Ligue 1,Thomas Mangani,FRA,MF,35-199,1987,5.8,1,6,0,0,1.04,0,0,NA,29.5,2,1,2,1.9,0.3,0.05,-0.9,-0.3,https://fbref.com/en/players/c801616a/Thomas-Mangani
17,2023,Ajaccio,Ligue 1,Vincent Marchetti,FRA,MF,25-133,1997,13.3,0,20,5,25,1.5,0.37,0,0,24.1,1,0,0,1,1,0.05,-1,-1,https://fbref.com/en/players/740f00ac/Vincent-Marchetti
18,2023,Ajaccio,Ligue 1,Fernand Mayembo,CGO,DF,26-309,1996,3.2,0,2,0,0,0.63,0,0,NA,6.5,0,0,0,0.5,0.5,0.24,-0.5,-0.5,https://fbref.com/en/players/b20cc590/Fernand-Mayembo
19,2023,Ajaccio,Ligue 1,Bevic Moussiti-Oko,CGO,FW,27-290,1995,5.4,1,12,4,33.3,2.22,0.74,0.08,0.25,12.6,0,0,0,1.2,1.2,0.1,-0.2,-0.2,https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko
20,2023,Ajaccio,Ligue 1,Riad Nouri,FRA,MF,37-160,1985,8.1,1,9,2,22.2,1.11,0.25,0.11,0.5,15.4,0,0,1,1.9,1.2,0.13,-0.9,-0.2,https://fbref.com/en/players/374fbf7d/Riad-Nouri
21,2023,Ajaccio,Ligue 1,Ghjuvanni Quilichini,FRA,GK,20-074,2002,0.9,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini
22,2023,Ajaccio,Ligue 1,François-Joseph Sollacaro,FRA,GK,28-238,1994,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro
23,2023,Ajaccio,Ligue 1,Kevin Spadanuda,SUI,"MF,FW",25-302,1997,5.1,0,3,0,0,0.59,0,0,NA,16.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda
24,2023,Ajaccio,Ligue 1,Yoann Touzghar,TUN,FW,35-351,1986,2.7,0,2,0,0,0.74,0,0,NA,12.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,https://fbref.com/en/players/4e47507a/Yoann-Touzghar
25,2023,Ajaccio,Ligue 1,Clément Vidal,FRA,DF,22-149,2000,6.4,0,6,0,0,0.94,0,0,NA,8.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,https://fbref.com/en/players/b2791a55/Clement-Vidal
26,2023,Ajaccio,Ligue 1,Mohamed Youssouf,COM,DF,34-233,1988,9.4,0,1,0,0,0.11,0,0,NA,25.1,0,0,0,0,0,0.03,0,0,https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf
27,2023,Almería,La Liga,Sergio Akieme,ESP,DF,24-333,1997,14,0,16,5,31.3,1.14,0.36,0,0,21.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
28,2023,Almería,La Liga,Srđan Babić,SRB,DF,26-206,1996,12.5,1,2,2,100,0.16,0.16,0.5,0.5,6.5,0,0,0,0.4,0.4,0.19,0.6,0.6,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
29,2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",30-080,1992,6.3,2,15,5,33.3,2.39,0.8,0.13,0.4,14,0,0,0,1.3,1.3,0.09,0.7,0.7,https://fbref.com/en/players/35f6db55/Leo-Baptistao
30,2023,Almería,La Liga,El Bilal Touré,MLI,FW,21-042,2001,6.3,3,12,6,50,1.9,0.95,0.25,0.5,10.9,0,0,0,2.3,2.3,0.19,0.7,0.7,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
31,2023,Almería,La Liga,Juan Brandáriz,ESP,DF,23-257,1999,4.3,0,1,0,0,0.23,0,0,NA,8.7,0,0,0,0.2,0.2,0.17,-0.2,-0.2,https://fbref.com/en/players/2475cf9b/Juan-Brandariz
32,2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26-271,1996,0.2,0,2,1,50,9,4.5,0,0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
33,2023,Almería,La Liga,Samu Costa,POR,MF,21-352,2000,8.5,0,5,2,40,0.59,0.23,0,0,28.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,https://fbref.com/en/players/76c2a023/Samu-Costa
